station,subject,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
Можайск,Московская область,6.5,7.6,8.3,9.5,11.4,11.1,10.8,10.6,9.2,6.6,4.8,5.3
Москва,Московская область,5.6,6.5,7.3,9,10.8,10.3,9.9,9.5,8.3,5.9,4.4,4.7
Наро-Фоминск,Московская область,6.7,8.1,8.6,10.1,12,11.6,11.2,11.1,9.6,6.9,4.9,5.4
Черусти,Московская область,7.2,8.5,9.2,10.5,12.8,12.5,12.4,12.1,10.3,7.4,5.3,5.9
Вайда-Губа,Мурманская область,5.6,5.6,5.2,4.8,5,6,6.2,5.6,4.8,4.2,4.7,5.2
Кандалакша,Мурманская область,8.3,8.5,9.3,8.5,8.1,8.6,8.6,8,6.7,5.1,5.8,7.4
Ковдор,Мурманская область,7.9,7.8,8.9,8.9,8.7,9.8,9.9,8.9,6.9,5,6,7.2
Краснощелье,Мурманская область,9.2,8.9,10.3,9.4,8.3,10.1,10.6,9.2,7,5.2,6.6,8.1
Ловозеро,Мурманская область,10.6,10.5,10.8,9.3,8.2,9.8,10,8.9,7.2,6,7.8,9.9
Мончегорск,Мурманская область,8.9,8.4,8.6,7.8,7.6,8.7,8.5,7.1,5.4,4.5,6.3,8
Мурманск,Мурманская область,6.4,6.1,6.5,6.3,6.7,8.2,8.3,7.2,5.4,4,4.9,5.9
Ниванкюль,Мурманская область,8.1,7.9,8.7,8.7,8.3,9.4,9.3,8.3,6.6,4.8,5.7,7.4
Пялица,Мурманская область,7,7,8,7,6.3,7.5,7.6,6.6,5.9,4.8,4.8,6
